"GEOID","NAME","variable","estimate","moe","source","year","quintile","county","county_short","acs_release","pce_estimate","cty_rate","eff_rate","pop_est","incidence_avg","est_PCE_cty_agg","est_taxable_spend","est_tax_rev","taxable_trans_total","percap_taxable_total","est_tax_spend_trans","est_tax_rev_trans"
"06031","Kings County, California","B19013_001",46756,4187,"ACS",2007,"q2","Kings","Kings",NA,0.113190473342816,0.0694402340576692,0.0725,148933,0.18,6963511348,788203145.608188,54733010.9160237,NA,NA,NA,NA
"06033","Lake County, California","B19013_001",40946,7371,"ACS",2007,"q1","Lake","Lake",NA,0.196359490048417,0.0717549085262581,0.0725,63890,0.293,2616039940,513684268.564692,36859367.7022373,NA,NA,NA,NA
"06037","Los Angeles County, California","B19013_001",53573,668,"ACS",2007,"q3","Los Angeles","Los Angeles",NA,0.127703373163983,0.0893457842980768,0.0725,9780808,0.2,523987226984,66914936380.6984,5978567472.18942,NA,NA,NA,NA
"06039","Madera County, California","B19013_001",44975,2905,"ACS",2007,"q2","Madera","Madera",NA,0.113190473342816,0.0717549085262581,0.0725,145163,0.18,6528705925,738987313.966795,53025967.1157526,NA,NA,NA,NA
"06041","Marin County, California","B19013_001",83870,4851,"ACS",2007,"q5","Marin","Marin",NA,0.22462041303302,0.0771075932348701,0.0725,248025,0.342,20801856750,4672521655.03871,360286899.157847,NA,NA,NA,NA
"06045","Mendocino County, California","B19013_001",42941,4245,"ACS",2007,"q1","Mendocino","Mendocino",NA,0.196359490048417,0.0772522603891569,0.0725,87617,0.293,3762361597,738775404.564669,57072069.9225345,NA,NA,NA,NA
"06047","Merced County, California","B19013_001",44410,2145,"ACS",2007,"q2","Merced","Merced",NA,0.113190473342816,0.0729122457605526,0.0725,247542,0.18,10993340220,1244341383.12041,90727724.7361015,NA,NA,NA,NA
"06053","Monterey County, California","B19013_001",57056,2153,"ACS",2007,"q3","Monterey","Monterey",NA,0.127703373163983,0.0798562691663195,0.0725,406890,0.2,23215515840,2964699682.50988,236749855.843811,NA,NA,NA,NA
"06055","Napa County, California","B19013_001",62081,3388,"ACS",2007,"q4","Napa","Napa",NA,0.167206145155947,0.0697295683662428,0.0725,132537,0.259,8228029497,1375777094.4228,95932342.9622653,NA,NA,NA,NA
"06057","Nevada County, California","B19013_001",59150,3147,"ACS",2007,"q3","Nevada","Nevada",NA,0.127703373163983,0.0744312508805641,0.0725,98408,0.2,5820833200,743340034.264902,55327728.579938,NA,NA,NA,NA
"06059","Orange County, California","B19013_001",73263,1165,"ACS",2007,"q5","Orange","Orange",NA,0.22462041303302,0.0709282390731906,0.0725,2960659,0.342,216906760317,48721686092.0588,3455743399.18649,NA,NA,NA,NA
"06061","Placer County, California","B19013_001",69076,3731,"ACS",2007,"q5","Placer","Placer",NA,0.22462041303302,0.0636122144135433,0.0725,325985,0.342,22517739860,5057944027.9233,321747019.995958,NA,NA,NA,NA
"06065","Riverside County, California","B19013_001",58145,1477,"ACS",2007,"q3","Riverside","Riverside",NA,0.127703373163983,0.0736904552801644,0.0725,2049902,0.2,119191551790,15221163216.2326,1121654447.29787,NA,NA,NA,NA
"06067","Sacramento County, California","B19013_001",56987,1160,"ACS",2007,"q3","Sacramento","Sacramento",NA,0.127703373163983,0.0736717483205584,0.0725,1380172,0.2,78651861764,10044108052.8901,739967000.577013,NA,NA,NA,NA
"06071","San Bernardino County, California","B19013_001",56428,1392,"ACS",2007,"q3","San Bernardino","San Bernardino",NA,0.127703373163983,0.0719400824837452,0.0725,1989690,0.2,112274227320,14337797548.1438,1031462338.24871,NA,NA,NA,NA
